City,Date,AQI,PM2.5,PM10,NO2,CO,SO2,O3
Ahmedabad,2015-07-16,105.0,65.37,141.54,8.07,0.64,16.31,8.02
Ahmedabad,2015-07-17,101.0,56.28,141.54,8.02,0.6,18.93,6.2
Ahmedabad,2015-07-18,93.0,48.17,141.54,8.0,0.65,18.99,7.97
Ahmedabad,2015-07-19,67.0,33.56,141.54,7.89,0.72,11.28,10.18
Ahmedabad,2015-07-20,60.0,31.3,141.54,8.1,0.55,10.29,7.44
Ahmedabad,2015-07-22,90.0,57.11,141.54,8.28,0.55,14.58,2.6
Ahmedabad,2015-07-23,78.0,34.72,141.54,9.73,0.1,13.62,4.87
Ahmedabad,2015-07-24,48.0,29.22,141.54,9.57,0.06,13.58,5.08
Ahmedabad,2015-07-25,53.0,29.79,141.54,8.64,0.14,15.11,5.34
Ahmedabad,2015-07-26,91.0,59.95,141.54,8.78,0.18,11.52,2.79
Ahmedabad,2015-07-27,70.0,19.2,141.54,9.45,1.52,11.23,4.61
Ahmedabad,2015-10-30,114.0,54.59,141.54,18.33,2.31,19.08,42.43
Ahmedabad,2015-10-31,143.0,46.5,141.54,12.1,1.22,13.73,61.56
Ahmedabad,2016-07-15,72.0,36.47,141.54,37.13,0.98,19.01,70.5646153846154
Ahmedabad,2016-07-20,557.0,31.71,141.54,22.75,1.67,15.47,41.626153846153855
Ahmedabad,2016-07-21,114.0,33.48,141.54,30.88,1.94,14.26,35.838461538461544
Ahmedabad,2016-07-23,99.0,30.47,141.54,38.78,1.64,15.8,24.26307692307693
Ahmedabad,2020-04-12,101.0,26.7,72.83,27.0,0.36,21.57,42.16
Ahmedabad,2020-04-14,89.0,31.16,72.09,25.9,0.37,21.85,43.35
Ahmedabad,2020-04-15,88.0,23.69,64.81,17.18,0.43,23.5,44.04
Ahmedabad,2020-04-16,95.0,38.65,81.47,26.76,0.36,22.03,54.24
Ahmedabad,2020-04-17,92.0,30.8,76.25,25.97,0.36,18.03,37.28
Ahmedabad,2020-04-19,99.0,21.27,65.12,13.93,0.36,21.0,40.56
Ahmedabad,2020-04-21,87.0,27.81,73.99,16.32,0.39,19.16,38.23
Ahmedabad,2020-04-22,101.0,32.11,94.34,17.95,0.45,15.83,42.22
Ahmedabad,2020-04-24,110.0,27.19,82.36,16.13,0.28,20.59,51.81
Ahmedabad,2020-04-25,98.0,28.25,70.48,13.88,0.38,16.51,41.74
Ahmedabad,2020-04-26,101.0,25.91,73.35,13.82,0.4,10.58,44.44
Ahmedabad,2020-05-03,121.0,23.82,62.1,16.38,0.64,22.71,54.35
Ahmedabad,2020-05-04,130.0,23.73,69.88,15.87,0.73,20.04,58.72
Ahmedabad,2020-05-05,143.0,33.47,134.83,29.05,0.54,2.42,54.8
Ahmedabad,2020-05-06,146.0,26.52,79.38,18.06,0.67,3.0507142857142853,59.96
Ahmedabad,2020-05-07,135.0,30.45,75.08,21.48,0.4,3.681428571428571,58.31
Ahmedabad,2020-05-08,127.0,26.79,66.34,14.99,0.51,4.312142857142857,57.81
Ahmedabad,2020-05-09,122.0,23.79,74.56,16.64,0.55,4.942857142857142,52.49
Ahmedabad,2020-05-10,125.0,26.17,62.14,14.73,0.77,5.5735714285714275,56.28
Ahmedabad,2020-05-11,125.0,21.31,66.1,15.01,0.54,6.204285714285714,57.55
Ahmedabad,2020-05-12,135.0,21.94,69.06,16.95,0.58,6.834999999999999,57.89
Ahmedabad,2020-05-13,117.0,23.19,67.28,17.46,0.48,7.465714285714284,52.31
Ahmedabad,2020-05-14,127.0,21.9,64.39,18.73,0.49,8.09642857142857,51.86
Ahmedabad,2020-05-15,125.0,19.15,78.8,19.59,0.51,8.727142857142855,61.79
Ahmedabad,2020-05-16,136.0,35.75,107.68,18.72,0.39,9.357857142857142,54.31
Ahmedabad,2020-05-17,137.0,27.28,63.5,18.56,0.68,9.988571428571426,55.52
Ahmedabad,2020-05-18,133.0,20.85,61.13,21.35,0.62,10.619285714285713,54.41
Ahmedabad,2020-05-19,133.0,23.98,56.9,26.56,0.61,11.249999999999998,59.05
Ahmedabad,2020-05-20,132.0,25.6,82.26,22.47,0.69,11.880714285714284,60.12
Ahmedabad,2020-05-21,130.0,33.35,84.99,25.02,0.56,12.511428571428569,62.4
Ahmedabad,2020-05-22,142.0,31.38,90.28,35.67,0.65,13.142142857142854,62.39
Ahmedabad,2020-05-23,135.0,29.26,82.26,22.23,0.67,13.77285714285714,55.64
Ahmedabad,2020-05-24,140.0,25.47,67.79,17.85,0.81,14.403571428571425,57.16
Ahmedabad,2020-05-25,126.0,24.84,70.95,16.03,0.57,15.03428571428571,57.53
Ahmedabad,2020-05-26,126.0,29.78,99.14,19.35,0.59,15.664999999999997,50.52
Ahmedabad,2020-05-27,123.0,31.25,89.65,21.42,0.83,16.295714285714283,54.58
Ahmedabad,2020-05-28,117.0,30.7,86.02,18.84,0.56,16.926428571428566,55.49
Ahmedabad,2020-05-29,126.0,23.91,81.0,18.6,0.57,17.557142857142853,44.9
Ahmedabad,2020-05-30,112.0,25.71,66.36,16.46,0.41,18.18785714285714,47.74
Ahmedabad,2020-05-31,104.0,22.83,67.92,15.35,0.4,18.818571428571424,53.06
Ahmedabad,2020-06-02,152.0,131.88,173.4,41.56,0.45,20.08,34.26
Ahmedabad,2020-06-04,101.0,26.08,84.25,37.3,0.79,21.29,56.78
Ahmedabad,2020-06-05,92.0,30.72,88.9,33.6,0.63,14.73,4.08
Ahmedabad,2020-06-06,95.0,33.19,65.77,39.76,0.71,14.4,40.28
Ahmedabad,2020-06-07,93.0,20.67,69.5,34.11,0.82,13.05,36.32
Ahmedabad,2020-06-08,97.0,22.92,70.97,28.47,0.57,11.6,30.16
Ahmedabad,2020-06-09,84.0,21.17,81.73,25.68,0.86,12.69,39.69
Ahmedabad,2020-06-10,101.0,23.62,94.06,20.92,0.85,16.22,44.32
Ahmedabad,2020-06-11,92.0,20.4,66.21,26.94,0.68,18.41,37.38
Ahmedabad,2020-06-12,105.0,21.4,93.89,22.4,0.85,16.27,45.05
Ahmedabad,2020-06-13,98.0,21.72,62.28,28.15,1.18,17.51,30.53
Ahmedabad,2020-06-14,96.0,24.1,87.14,27.53,0.86,20.82,35.29
Ahmedabad,2020-06-15,96.0,21.21,92.72,31.93,0.85,19.3,33.59
Ahmedabad,2020-06-16,80.0,31.49,94.09,24.73,0.85,11.26,38.44
Ahmedabad,2020-06-17,95.0,14.79,11.5,19.65,0.81,9.4,18.2
Ahmedabad,2020-06-19,108.0,17.65,135.16,33.84,0.71,9.9,40.03
Ahmedabad,2020-06-20,124.0,22.9,120.7,15.81,0.5,10.1,46.04
Ahmedabad,2020-06-21,106.0,24.28,138.12,12.44,0.7,11.45,57.31
Ahmedabad,2020-06-22,75.0,19.02,98.37,16.76,0.52,13.32,45.85
Ahmedabad,2020-06-23,85.0,22.2,88.99,15.67,0.51,13.0,64.75
Ahmedabad,2020-06-24,91.0,30.29,115.71000000000001,25.92,0.75,11.99,43.31
Ahmedabad,2020-06-25,95.0,32.56,142.43,24.83,0.65,11.73,40.54
Ahmedabad,2020-06-26,93.0,36.48,150.65,30.78,0.59,10.41,44.47
Ahmedabad,2020-06-27,92.0,62.12,118.67,56.35,0.49,12.44,68.05
Ahmedabad,2020-06-28,82.0,31.57,123.325,23.99,0.52,11.01,26.34
Ahmedabad,2020-06-29,74.0,29.75,127.98,25.15,0.67,12.1,34.99
Ahmedabad,2020-06-30,98.0,40.02,121.1,58.92,0.73,16.39,41.64
Ahmedabad,2020-07-01,119.0,37.63,121.1,35.04,0.28,14.4,9.69
Aizawl,2020-03-12,52.0,31.21,38.66,1.27,0.56,4.22,2.81
Aizawl,2020-03-13,60.0,38.39,46.68,0.91,0.57,4.46,0.18
Aizawl,2020-03-14,62.0,43.23,50.83,1.07,0.57,4.53,0.41
Aizawl,2020-03-15,70.0,33.82,41.03,0.36,0.48,4.63,0.3
Aizawl,2020-03-16,54.0,27.14,35.04,2.32,0.5,4.71,13.02
Aizawl,2020-03-17,40.0,27.32,35.75,2.14,0.48,4.84,6.03
Aizawl,2020-03-18,51.0,31.76,41.51,1.48,0.47,5.04,8.76
Aizawl,2020-03-19,63.0,43.8,53.59,1.31,0.48,5.3,9.96
Aizawl,2020-03-20,69.0,35.48,44.02,0.83,0.49,5.32,6.43
Aizawl,2020-03-21,70.0,51.27,60.05,0.88,0.49,5.63,8.62
Aizawl,2020-03-22,71.0,33.24,40.33,0.13,0.37,5.41,5.64
Aizawl,2020-03-23,53.0,35.34,41.55,0.16,0.32,5.63,5.73
Aizawl,2020-03-24,66.0,47.34,56.65,0.14,0.37,6.17,5.59
Aizawl,2020-03-25,92.0,53.64,62.86,0.17,0.44,6.75,6.44
Aizawl,2020-03-26,89.0,54.9,62.7,0.13,0.42,6.8,5.87
Aizawl,2020-03-27,82.0,44.64,53.86,0.11,0.4,7.34,6.42
Aizawl,2020-03-28,71.0,51.33,60.03,0.35,0.44,7.69,8.76
Aizawl,2020-03-29,81.0,34.54,41.95,0.13,0.36,7.8,7.99
Aizawl,2020-03-30,60.0,39.47,48.07,0.24,0.42,7.67,7.4
Aizawl,2020-03-31,51.0,27.27,33.9,0.25,0.4,7.9,6.74
Aizawl,2020-04-01,62.0,38.6,49.19,0.26,0.45,8.11,6.12
Aizawl,2020-04-02,64.0,36.22,48.66,0.25,0.4,8.36,9.24
Aizawl,2020-04-03,54.0,30.35,39.84,0.21,0.29,8.25,10.87
Aizawl,2020-04-04,43.0,24.05,41.95,0.25,0.26,8.16,11.09
Aizawl,2020-04-05,44.0,26.47,33.51,0.08,0.31,8.79,5.76
Aizawl,2020-04-06,48.0,35.13,43.65,0.15,0.31,8.49,7.94
Aizawl,2020-04-07,61.0,33.19,42.17,0.3,0.3,8.78,13.38
Aizawl,2020-04-08,45.0,24.92,31.74,0.18,0.27,8.69,9.67
Aizawl,2020-04-09,59.0,39.15,45.79,0.31,0.39,7.81,7.66
Aizawl,2020-04-10,64.0,38.01,45.39,0.13,0.41,4.52,5.62
Aizawl,2020-04-11,55.0,30.06,35.53,0.17,0.37,4.77,6.71
Aizawl,2020-04-12,41.0,21.7,27.32,0.12,0.27,4.54,8.47
Aizawl,2020-04-13,42.0,28.33,33.24,0.39,0.36,5.3,10.16
Aizawl,2020-04-14,64.0,46.26,49.81,0.45,0.47,5.66,2.97
Aizawl,2020-04-15,76.0,40.72,48.87,0.51,0.42,5.71,0.72
Aizawl,2020-04-16,49.0,22.63,28.06,0.33,0.28,5.52,0.79
Aizawl,2020-04-17,33.0,15.06,19.85,0.36,0.22,5.43,2.46
Aizawl,2020-04-18,31.0,19.5,25.12,0.25,0.25,6.06,1.17
Aizawl,2020-04-19,24.0,10.48,14.73,0.11,0.22,6.4,1.27
Aizawl,2020-04-20,24.0,11.79,18.9,0.95,0.25,6.79,8.71
Aizawl,2020-04-21,23.0,9.53,20.94,0.75,0.27,6.62,7.67
Aizawl,2020-04-22,20.0,8.53,11.26,0.34,0.24,6.61,1.3
Aizawl,2020-04-23,19.0,10.42,14.56,0.26,0.26,6.96,1.75
Aizawl,2020-04-24,19.0,5.74,9.67,0.34,0.21,6.79,1.16
Aizawl,2020-04-25,19.0,3.14,5.83,0.2,0.18,7.47,0.55
Aizawl,2020-04-26,18.0,1.97,4.06,0.13,0.18,6.98,1.78
Aizawl,2020-04-27,19.0,5.4,9.88,0.27,0.25,7.21,0.22
Aizawl,2020-04-28,19.0,3.55,7.84,0.18,0.26,6.97,0.6633333333333333
Aizawl,2020-04-29,19.0,3.85,6.78,0.17,0.21,7.23,1.1066666666666667
Aizawl,2020-04-30,19.0,4.49,8.9,0.3,0.24,6.6,1.55
Aizawl,2020-05-01,20.0,7.92,12.97,0.35,0.3,6.47,1.61
Aizawl,2020-05-02,20.0,8.24,13.13,0.23,0.28,6.46,0.1
Aizawl,2020-05-03,19.0,5.48,9.88,0.08,0.19,6.42,0.07
Aizawl,2020-05-04,19.0,6.32,11.92,0.22,0.23,6.93,0.41
Aizawl,2020-05-05,19.0,10.16,14.63,0.25,0.27,7.6,0.12
Aizawl,2020-05-06,20.0,6.15,8.99,0.63,0.24,7.36,2.82
Aizawl,2020-05-07,20.0,3.93,6.85,0.18,0.27,8.04,0.19
Aizawl,2020-05-08,20.0,13.61,17.4,0.49,0.32,8.51,2.66
Aizawl,2020-05-09,24.0,13.29,19.14,0.34,0.37,8.6,0.24
Aizawl,2020-05-10,24.0,16.09,20.04,0.09,0.31,8.61,0.06
Aizawl,2020-05-11,35.0,25.35,31.71,0.69,0.39,8.87,7.63
Aizawl,2020-05-12,46.0,27.97,33.56,0.44,0.42,8.91,0.18
Aizawl,2020-05-13,46.0,23.72,28.88,0.6,0.37,8.41,1.74
Aizawl,2020-05-14,33.0,21.05,24.86,0.65,0.32,9.08,7.27
Aizawl,2020-05-15,31.0,14.82,19.67,0.35,0.31,9.06,0.05
Aizawl,2020-05-16,21.0,8.3,12.62,0.29,0.27,9.19,0.045
Aizawl,2020-05-17,20.0,12.42,18.0,0.12,0.23,9.84,0.04
Aizawl,2020-05-18,26.0,17.92,25.29,0.56,0.38,10.05,4.03
Aizawl,2020-05-19,32.0,18.83,24.52,0.48,0.36,9.84,1.16
Aizawl,2020-05-20,24.0,6.53,10.27,0.51,0.31,9.81,0.44
Aizawl,2020-05-21,20.0,8.97,14.44,0.34,0.21,10.1,2.88
Aizawl,2020-05-22,22.0,14.67,19.13,0.36,0.25,9.92,1.07
Aizawl,2020-05-23,22.0,16.13,21.52,0.27,0.25,10.88,0.28
Aizawl,2020-05-24,27.0,13.4,19.09,0.09,0.19,11.19,0.68
Aizawl,2020-05-25,20.0,9.72,14.84,0.28,0.19,11.14,1.77
Aizawl,2020-05-26,19.0,9.03,13.23,0.42,0.22,11.09,2.5
Aizawl,2020-05-27,21.0,1.96,4.32,0.62,0.21,11.13,4.82
Aizawl,2020-05-28,21.0,3.47,9.67,0.35,0.24,11.89,2.67
Aizawl,2020-05-29,20.0,3.62,7.84,0.47,0.24,11.24,1.98
Aizawl,2020-05-30,20.0,3.43,7.24,0.21,0.22,11.38,0.24
Aizawl,2020-05-31,19.0,3.68,7.45,0.08,0.17,11.58,0.1
Aizawl,2020-06-01,19.0,4.52,9.11,0.59,0.22,11.83,3.37
Aizawl,2020-06-02,20.0,3.96,8.56,0.21,0.24,12.13,3.065
Aizawl,2020-06-03,20.0,2.33,6.33,0.29,0.24,12.24,2.76
Aizawl,2020-06-04,19.0,2.17,4.57,0.22,0.19,12.61,2.8
Aizawl,2020-06-05,31.0,2.49,7.33,0.7,0.24,12.97,3.3
Aizawl,2020-06-06,20.0,2.81,6.19,0.15,0.21,12.82,2.4899999999999998
Aizawl,2020-06-07,19.0,5.2,14.245000000000001,0.09,0.18,12.16,1.68
Aizawl,2020-06-08,25.0,14.44,22.3,0.76,0.41,13.0,0.87
Aizawl,2020-06-09,23.0,10.08,13.04,0.13,0.33,13.48,1.22
Aizawl,2020-06-10,19.0,1.54,2.79,0.1,0.22,13.44,1.5699999999999998
Aizawl,2020-06-12,19.0,0.99,8.1,0.25,0.2,11.92,3.6
Aizawl,2020-06-13,19.0,1.4,5.8,0.07,0.17,8.11,4.35
Aizawl,2020-06-14,19.0,0.98,4.59,0.07,0.16,8.82,3.77
Aizawl,2020-06-15,19.0,1.19,4.99,0.07,0.17,8.52,4.17
Aizawl,2020-06-16,19.0,1.14,6.19,0.37,0.17,8.62,4.86
Aizawl,2020-06-17,20.0,1.1949999999999998,1.99,0.33,0.16,5.65,4.5
Aizawl,2020-06-18,20.0,1.25,9.1,0.22,0.15,1.76,2.0
Aizawl,2020-06-19,20.0,5.92,19.02,0.26,0.2,2.84,1.58
Aizawl,2020-06-20,19.0,2.46,12.72,0.08,0.22,2.39,0.9600000000000001
Aizawl,2020-06-21,19.0,2.63,9.03,0.06,0.15,2.33,0.34
Aizawl,2020-06-22,20.0,2.88,13.68,0.32,0.16,1.91,1.79
Aizawl,2020-06-23,20.0,2.76,13.65,0.38,0.05,0.95,2.6
Aizawl,2020-06-24,25.0,8.62,32.1,0.14,0.07,1.08,1.84
Aizawl,2020-06-25,33.0,7.98,28.92,0.16,0.05,1.03,1.76
Aizawl,2020-06-26,21.0,1.39,7.21,0.18,0.03,1.24,1.08
Aizawl,2020-06-27,19.0,0.16,3.16,0.07,0.02,1.08,1.29
Aizawl,2020-06-28,19.0,0.24,1.15,0.05,0.02,1.38,1.4
Aizawl,2020-06-29,20.0,0.28,10.02,0.13,0.12,2.03,0.95
Aizawl,2020-06-30,20.0,1.89,9.27,0.1,0.11,2.23,1.16
Aizawl,2020-07-01,20.0,4.49,5.39,0.07,0.02,2.07,3.39
Amaravati,2017-12-08,310.0,122.88,208.86,54.87,0.27,22.97,68.6
Amaravati,2017-12-09,196.0,74.28,141.22,44.97,0.09,21.9,60.62
Amaravati,2017-12-10,132.0,50.32,102.77,33.85,0.1,13.65,68.15
Amaravati,2017-12-11,147.0,58.47,115.27,41.64,0.16,18.37,73.75
Amaravati,2017-12-12,179.0,89.35,131.48,42.1,0.24,7.42,44.67
Amaravati,2017-12-13,145.0,64.42,99.74,34.78,0.15,5.81,50.16
Amaravati,2017-12-14,115.0,69.4,98.94,29.97,0.14,5.8,55.0
Amaravati,2017-12-15,140.0,71.07,109.65,25.0,0.1,8.33,79.04
Amaravati,2017-12-16,156.0,79.76,129.81,40.92,0.17,8.51,73.17
Amaravati,2017-12-17,225.0,108.06,167.62,47.05,0.08,16.05,70.74
Amaravati,2017-12-18,251.0,100.75,172.04,53.94,0.11,14.05,59.2
Amaravati,2017-12-19,228.0,106.25,171.56,43.09,0.13,15.45,66.9
Amaravati,2017-12-20,223.0,83.79,141.83,47.47,0.3,13.35,77.54
Amaravati,2017-12-21,170.0,79.98,147.74,49.55,0.14,13.58,79.71
Amaravati,2017-12-23,159.0,86.5,147.95,42.0,0.15,11.85,73.09
Amaravati,2017-12-24,232.0,100.62,167.75,47.68,0.22,10.85,62.78
Amaravati,2017-12-25,242.0,110.73,171.47,31.06,0.1,12.23,76.07
Amaravati,2017-12-26,274.0,107.7,170.21,43.54,0.17,18.07,64.6
Amaravati,2017-12-27,259.0,104.81,192.2,63.48,0.23,17.01,63.87
Amaravati,2017-12-28,225.0,89.95,175.16,64.53,0.27,15.52,62.49
Amaravati,2017-12-29,177.0,74.58,138.6,46.65,0.17,9.47,67.11
Amaravati,2017-12-30,120.0,56.68,109.33,33.26,0.1,8.26,66.91
Amaravati,2017-12-31,120.0,61.03,131.62,39.5,0.08,11.45,61.91
Amaravati,2018-01-02,132.0,61.88,109.82,23.14,0.09,12.81,81.38
Amaravati,2018-01-03,136.0,71.57,137.48,39.99,0.09,16.82,80.3
Amaravati,2018-01-04,182.0,92.44,174.75,53.79,0.11,16.93,71.09
Amaravati,2018-01-05,222.0,92.9,162.69,56.39,0.08,23.11,68.79
Amaravati,2018-01-13,214.0,77.51,125.01,36.41,0.05,14.36,72.16
Amaravati,2018-01-14,186.0,86.96,129.99,28.32,0.05,4.83,62.6
Amaravati,2018-01-15,172.0,76.29,115.53,21.35,0.05,8.75,69.99
Amaravati,2018-01-16,138.0,67.06,100.34,20.25,0.06,4.7,54.92
Amaravati,2018-01-17,125.0,68.34,104.45,26.26,0.06,6.43,45.63
Amaravati,2018-01-18,132.0,66.28,117.3,45.13,0.05,7.21,45.97
Amaravati,2018-01-19,111.0,64.98,116.14,45.4,0.06,8.83,50.28
Amaravati,2018-01-21,172.0,81.58,141.85,38.15,0.05,11.04,59.76
Amaravati,2018-01-22,160.0,78.27,142.86,45.36,0.06,10.32,58.53
Amaravati,2018-01-23,163.0,79.01,138.14,45.43,0.06,10.18,58.04
Amaravati,2018-01-24,165.0,77.98,137.31,44.96,0.06,7.22,50.69
Amaravati,2018-01-26,176.0,79.04,143.38,43.61,0.08,8.67,45.46
Amaravati,2018-01-27,162.0,77.78,131.14,43.84,0.09,7.62,43.26
Amaravati,2018-01-28,160.0,76.48,131.86,33.37,0.06,7.49,45.71
Amaravati,2018-01-29,142.0,74.2,135.97,35.82,0.07,12.16,53.0
Amaravati,2018-01-30,172.0,78.23,140.66,45.76,0.05,12.45,45.35
Amaravati,2018-01-31,134.0,68.53,147.48,61.52,0.04,23.68,37.99
Amaravati,2018-02-01,136.0,62.08,152.59,62.18,0.05,8.97,34.93
Amaravati,2018-02-02,130.0,50.64,130.36,45.52,0.07,10.61,40.57
Amaravati,2018-02-03,111.0,44.21,119.52,34.37,0.07,5.86,31.73
Amaravati,2018-02-04,117.0,50.71,115.65,35.16,0.06,8.16,32.58
Amaravati,2018-02-05,102.0,42.27,100.54,30.69,0.66,8.99,32.18
Amaravati,2018-02-06,108.0,39.41,101.1,28.53,0.81,5.86,28.72
Amaravati,2018-02-07,99.0,50.56,116.89,37.27,0.97,5.25,23.36
Amaravati,2018-02-08,121.0,50.54,120.05,26.96,0.9,17.9,36.66
Amaravati,2018-02-09,86.0,26.22,62.82,20.1,0.61,8.25,23.74
Amaravati,2018-02-10,57.0,31.83,66.74,16.83,0.61,5.87,24.72
Amaravati,2018-02-11,107.0,70.26,112.29,11.87,0.62,7.29,31.4
Amaravati,2018-02-12,118.0,59.47,99.73,12.85,0.68,7.62,30.57
Amaravati,2018-02-13,110.0,58.71,99.04,13.88,0.86,6.89,36.2
Amaravati,2018-02-14,114.0,56.29,107.96,16.71,0.95,12.91,48.39
Amaravati,2018-02-15,111.0,50.41,118.62,25.6,0.69,11.81,33.46
Amaravati,2018-02-17,107.0,43.82,97.19,16.01,0.67,17.62,27.62
Amaravati,2018-02-18,87.0,42.71,80.24,17.35,0.49,9.53,30.68
Amaravati,2018-02-19,89.0,54.73,94.12,12.79,0.58,8.21,30.21
Amaravati,2018-02-20,97.0,50.91,99.84,16.33,0.64,10.34,26.24
Amaravati,2018-02-21,100.0,38.5,106.7,16.82,0.58,11.02,26.62
Amaravati,2018-02-22,105.0,32.21,107.43,17.33,0.6,11.81,24.84
Amaravati,2018-02-23,114.0,35.36,107.25,17.75,0.85,10.87,23.99
Amaravati,2018-02-24,116.0,59.65,127.26,19.14,0.7,10.82,21.64
Amaravati,2018-02-25,116.0,46.16,115.95,17.19,0.7366666666666667,9.18,16.94
Amaravati,2018-02-26,98.0,34.31,107.74,20.85,0.7733333333333333,13.97,16.28
Amaravati,2018-02-27,116.0,39.52,113.31,21.18,0.81,15.02,18.8
Amaravati,2018-02-28,108.0,43.08,116.06,19.02,0.79,22.7,25.64
Amaravati,2018-03-01,100.0,38.1,97.0,22.21,0.79,13.89,22.73
Amaravati,2018-03-02,92.0,33.08,83.16,18.83,0.72,8.98,23.63
Amaravati,2018-03-03,80.0,29.7,77.45,17.33,0.65,9.71,29.26
Amaravati,2018-03-04,88.0,38.67,82.67,22.81,0.66,12.63,22.9
Amaravati,2018-03-05,83.0,30.04,83.07,24.74,0.78,8.98,17.81
Amaravati,2018-03-06,100.0,39.72,103.81,26.29,0.81,9.68,17.53
Amaravati,2018-03-07,81.0,38.21,78.95,19.03,0.75,8.03,22.81
Amaravati,2018-03-08,112.0,58.31,124.64,28.85,1.03,10.21,22.24
Amaravati,2018-03-09,113.0,62.49,113.56,22.65,0.91,12.68,26.26
Amaravati,2018-03-10,105.0,49.04,102.46,19.92,0.64,6.82,26.52
Amaravati,2018-03-11,88.0,41.67,80.09,13.08,0.78,8.35,30.38
Amaravati,2018-03-12,78.0,32.44,75.3,19.07,0.68,7.75,21.52
Amaravati,2018-03-13,78.0,26.43,80.85,20.82,0.72,9.43,16.52
Amaravati,2018-03-14,69.0,25.08,60.67,15.22,0.56,8.63,13.8
Amaravati,2018-03-15,60.0,26.09,63.05,10.42,0.58,11.33,21.38
Amaravati,2018-03-16,51.0,16.62,39.94,8.18,0.58,6.37,12.68
Amaravati,2018-03-17,61.0,49.58,82.95,19.05,0.7,12.47,20.32
Amaravati,2018-03-18,90.0,43.52,80.01,20.43,0.8,10.57,23.36
Amaravati,2018-03-19,74.0,39.83,76.09,14.37,0.7,8.89,23.13
Amaravati,2018-03-20,76.0,36.89,76.61,18.83,0.57,7.04,13.58
Amaravati,2018-03-22,92.0,52.69,94.25,14.44,0.59,16.81,19.03
Amaravati,2018-03-23,93.0,46.48,95.41,14.79,0.6,15.55,21.04
Amaravati,2018-03-24,88.0,44.22,77.62,8.53,0.73,9.61,23.87
Amaravati,2018-03-25,75.0,35.91,71.26,6.99,0.67,3.69,27.58
Amaravati,2018-03-26,79.0,39.05,81.51,9.86,0.68,7.26,23.74
Amaravati,2018-03-27,74.0,30.21,67.22,11.29,0.58,13.19,20.89
Amaravati,2018-03-28,62.0,31.14,60.35,10.36,0.83,14.42,20.99
Amaravati,2018-03-29,53.0,26.82,52.51,7.68,0.69,13.63,23.6
Amaravati,2018-03-30,53.0,26.34,52.07,8.43,0.57,18.83,23.6
Amaravati,2018-03-31,55.0,28.48,55.8,6.86,0.64,12.97,24.19
Amaravati,2018-04-01,52.0,21.83,52.92,5.28,0.55,8.3,23.34
Amaravati,2018-04-02,55.0,24.23,52.06,14.33,0.56,9.95,23.86
Amaravati,2018-04-03,56.0,22.29,55.96,11.27,0.67,8.08,19.63
Amaravati,2018-04-04,56.0,25.28,54.59,9.65,0.72,8.7,19.64
Amaravati,2018-04-05,52.0,19.68,45.57,6.63,0.69,5.86,14.34
Amaravati,2018-04-07,76.0,24.4,70.25,10.84,0.74,7.4,13.13
Amaravati,2018-04-08,76.0,20.05,79.5,13.54,0.65,10.35,34.29
Amaravati,2018-04-09,81.0,23.72,55.74,8.86,0.81,6.71,19.29
Amaravati,2018-04-10,59.0,26.12,56.77,11.71,0.5,6.88,14.32
Amaravati,2018-04-13,46.0,7.16,26.39,5.22,0.59,6.62,14.29
Amaravati,2018-04-14,40.0,7.97,33.2,6.48,0.61,6.01,11.52
Amaravati,2018-04-15,33.0,6.48,23.83,3.54,0.47,5.97,11.63
Amaravati,2018-04-16,49.0,7.2,34.11,5.73,0.5,7.01,18.9
Amaravati,2018-04-17,32.0,8.27,27.27,5.86,0.53,6.69,7.51
Amaravati,2018-04-19,42.0,9.21,27.62,3.26,0.44,6.91,11.95
Amaravati,2018-04-21,53.0,19.78,49.86,4.9,0.66,7.64,23.67
Amaravati,2018-04-22,47.0,8.85,30.54,3.86,0.36,5.44,20.73
Amaravati,2018-04-25,79.0,18.48,62.52,12.71,0.76,7.38,17.57
Amaravati,2018-04-27,47.0,11.04,38.34,5.11,0.48,6.21,16.31
Amaravati,2018-04-28,51.0,9.74,33.83,4.84,0.66,7.51,12.65
Amaravati,2018-04-29,52.0,10.35,30.98,5.55,1.01,5.38,7.55
Amaravati,2018-05-01,88.0,22.81,53.85,6.96,0.8,7.09,34.26
Amaravati,2018-05-02,78.0,28.54,56.36,22.75,0.85,7.28,32.62
Amaravati,2018-05-03,90.0,18.46,39.45,14.17,0.49,6.37,30.3
Amaravati,2018-05-04,43.0,23.9,37.71,26.74,0.56,6.01,12.46
Amaravati,2018-05-09,55.0,14.42,36.29,6.9,0.43,9.19,35.44
Amaravati,2018-05-11,52.0,12.42,36.29,10.28,0.51,5.82,36.88
Amaravati,2018-05-13,84.0,16.78,42.22,5.94,0.4,7.31,50.24
Amaravati,2018-05-14,95.0,19.77,62.11,10.0,1.03,12.02,43.79
Amaravati,2018-05-15,58.0,22.63,54.13,14.93,0.26,9.43,41.32
Amaravati,2018-05-17,125.0,15.2,45.09,9.26,1.18,6.82,54.21
Amaravati,2018-05-20,81.0,16.44,54.42,7.26,0.45399999999999996,8.06,40.47
Amaravati,2018-05-22,65.0,13.23,41.25,5.4,0.318,6.55,29.12
Amaravati,2018-05-24,86.0,25.62,56.44,13.88,0.48,7.3,44.62
Amaravati,2018-05-25,62.0,40.32,66.25,11.3,0.5,7.57,24.35
